Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc), Year
128,Aug 21,@,WSN,"L,0-1",32,27,0,4,0,0,0,0,4,0,6,0,1,0,0,2,0,1,.250,.304,.383,.687,5,13,L,G.Gonzalez (72),2014
129,Aug 22,,SDP,"W,5-1",35,33,5,7,1,1,1,4,2,0,6,0,0,0,2,0,1,0,.250,.304,.383,.687,6,10,R,O.Despaigne (46),2014
130,Aug 23,,SDP,"W,5-2",37,34,5,10,1,1,2,5,3,1,3,0,0,0,0,0,0,0,.250,.304,.384,.689,8,12,R,A.Cashner (44),2014
131,Aug 24,,SDP,"L,4-7",41,38,4,11,2,0,1,4,3,0,9,0,0,0,0,0,0,0,.251,.305,.385,.690,10,15,R,I.Kennedy (44),2014
132,Aug 26,,LAD,"L,5-9",41,34,5,9,1,0,0,5,4,0,6,1,2,0,0,0,1,0,.251,.305,.384,.689,9,13,R,R.Hernandez (49),2014
133,Aug 27,,LAD,"L,1-3",35,32,1,6,1,1,0,0,2,0,12,0,1,0,0,0,1,0,.250,.305,.383,.688,7,14,L,C.Kershaw (76),2014
134,Aug 29,,COL,"W,5-2",34,26,5,3,1,1,1,4,8,1,9,0,0,0,0,0,0,1,.250,.305,.383,.688,5,14,R,C.Bergman (60),2014
135,Aug 30,,COL,"L,0-2",36,32,0,5,0,0,0,0,4,0,7,0,0,0,1,1,1,0,.249,.304,.382,.686,9,12,L,T.Matzek (72),2014
136,Aug 31,,COL,"W,6-2",37,33,6,11,2,1,1,6,3,0,6,0,1,0,0,1,1,0,.250,.305,.383,.688,7,14,L,J.De La Rosa (44),2014
2014
137,Sep 1,@,SDP,"L,1-3",35,33,1,6,0,0,0,1,2,0,13,0,0,0,0,0,1,0,.249,.305,.381,.686,7,13,R,T.Ross (62),2014
138,Sep 2,@,SDP,"L,1-2",33,32,1,5,0,0,0,1,1,1,5,0,0,0,1,0,0,1,.248,.304,.380,.684,5,12,R,O.Despaigne (69),2014
139,Sep 3,@,SDP,"W,6-1",39,35,6,8,2,1,0,5,3,0,7,0,0,1,0,1,0,0,.248,.304,.380,.683,6,12,R,A.Cashner (59),2014
140,Sep 4,@,SDP,"W,5-1",41,38,5,13,4,0,0,4,2,0,5,0,1,0,0,0,1,1,.249,.304,.380,.684,9,15,R,I.Kennedy (32),2014
141,Sep 5,@,LAD,"L,1-2",33,30,1,4,2,0,0,1,2,0,7,0,0,1,0,0,0,0,.248,.303,.379,.682,5,12,R,D.Haren (65),2014
142,Sep 6,@,LAD,"L,2-5",36,35,2,9,4,0,0,2,1,0,10,0,0,0,0,0,0,0,.248,.303,.379,.682,7,14,L,H.Ryu (60),2014
143,Sep 7,@,LAD,"L,2-7",35,32,2,6,1,0,0,2,3,0,9,0,0,0,0,0,0,0,.248,.303,.378,.681,6,15,R,Z.Greinke (53),2014
144,Sep 9,@,SFG,"L,1-5",29,29,1,4,0,0,1,1,0,0,9,0,0,0,0,2,0,0,.247,.302,.377,.679,1,13,R,Y.Petit (84),2014
145,Sep 10,@,SFG,"L,0-5",33,28,0,2,1,0,0,0,5,0,6,0,0,0,0,1,1,0,.246,.301,.376,.677,6,13,R,R.Vogelsong (68),2014
146,Sep 11,@,SFG,"L,2-6",36,35,2,9,2,1,1,2,0,0,11,1,0,0,0,1,1,0,.246,.301,.376,.677,7,16,R,J.Peavy (61),2014
147,Sep 12,,SDP,"L,5-6",36,35,5,10,1,1,1,5,1,0,4,0,0,0,1,3,0,0,.247,.301,.377,.678,4,17,L,E.Stults (45),2014
